"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
11,"20200603 P1",0.7699,5.0635,"DMSO",1300
12,"20200122 P1",0.0558000000000001,-0.2106,"DMSO",0
12,"20200122 P1",0.0558000000000001,-0.2106,"PTx",0
12,"20200122 P1",0.0558000000000001,-0.2106,"YM",0
12,"20200122 P1",0.0558000000000001,-0.2106,"ymptx",0
13,"20200603 P1",1.4301,4.3247,"DMSO",1300
14,"20200603 P1",-0.018,2.6149,"DMSO",1300
15,"20200122 P1",0.2458,-0.1424,"DMSO",0
15,"20200122 P1",0.2458,-0.1424,"PTx",0
15,"20200122 P1",0.2458,-0.1424,"YM",0
15,"20200122 P1",0.2458,-0.1424,"ymptx",0
15,"20200603 P1",0.5217,5.7756,"DMSO",1300
16,"20200122 P1",0.0412000000000005,-0.2493,"DMSO",0
16,"20200122 P1",0.0412000000000005,-0.2493,"PTx",0
16,"20200122 P1",0.0412000000000005,-0.2493,"YM",0
16,"20200122 P1",0.0412000000000005,-0.2493,"ymptx",0
16,"20200603 P1",0.0948000000000003,2.6936,"DMSO",1300
18,"20200603 P1",-0.553700000000001,1.8894,"DMSO",1300
19,"20200603 P1",0.5537,6.5998,"DMSO",1300
20,"20200603 P1",0.2081,4.0791,"DMSO",1300
21,"20200603 P1",0.5247,2.9046,"DMSO",1300
22,"20200122 P1",-0.1194,-0.198,"DMSO",0
22,"20200122 P1",-0.1194,-0.198,"PTx",0
22,"20200122 P1",-0.1194,-0.198,"YM",0
22,"20200122 P1",-0.1194,-0.198,"ymptx",0
23,"20200122 P1",0.1838,-0.154,"DMSO",0
23,"20200122 P1",0.1838,-0.154,"PTx",0
23,"20200122 P1",0.1838,-0.154,"YM",0
23,"20200122 P1",0.1838,-0.154,"ymptx",0
23,"20200603 P1",-0.4274,3.9778,"DMSO",1300
25,"20200122 P1",0.3291,-0.7078,"DMSO",0
25,"20200122 P1",0.3291,-0.7078,"PTx",0
25,"20200122 P1",0.3291,-0.7078,"YM",0
25,"20200122 P1",0.3291,-0.7078,"ymptx",0
26,"20200122 P1",0.1011,-0.0882000000000001,"DMSO",0
26,"20200122 P1",0.1011,-0.0882000000000001,"PTx",0
26,"20200122 P1",0.1011,-0.0882000000000001,"YM",0
26,"20200122 P1",0.1011,-0.0882000000000001,"ymptx",0
27,"20200122 P1",0.2923,0.0267,"DMSO",0
27,"20200122 P1",0.2923,0.0267,"PTx",0
27,"20200122 P1",0.2923,0.0267,"YM",0
27,"20200122 P1",0.2923,0.0267,"ymptx",0
28,"20200122 P1",-0.3226,-0.4163,"DMSO",0
28,"20200122 P1",-0.3226,-0.4163,"PTx",0
28,"20200122 P1",-0.3226,-0.4163,"YM",0
28,"20200122 P1",-0.3226,-0.4163,"ymptx",0
28,"20200603 P1",-0.0563999999999996,3.2929,"DMSO",1300
29,"20200603 P1",1.8664,5.6008,"DMSO",1300
30,"20200122 P1",-0.0395000000000002,-0.1152,"DMSO",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"PTx",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"YM",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"ymptx",0
30,"20200603 P1",-0.5704,3.0827,"DMSO",1300
31,"20200122 P1",-0.2789,0.00169999999999981,"DMSO",0
31,"20200122 P1",-0.2789,0.00169999999999981,"PTx",0
31,"20200122 P1",-0.2789,0.00169999999999981,"YM",0
31,"20200122 P1",-0.2789,0.00169999999999981,"ymptx",0
31,"20200603 P1",1.1047,6.8689,"DMSO",1300
34,"20200603 P1",0.600499999999999,3.15,"DMSO",1300
35,"20200122 P1",0.0967000000000001,0.468,"DMSO",0
35,"20200122 P1",0.0967000000000001,0.468,"PTx",0
35,"20200122 P1",0.0967000000000001,0.468,"YM",0
35,"20200122 P1",0.0967000000000001,0.468,"ymptx",0
35,"20200603 P1",-0.768999999999999,4.3168,"DMSO",1300
36,"20200603 P1",0.3091,4.6227,"DMSO",1300
38,"20200603 P1",0.2781,3.998,"DMSO",1300
39,"20200122 P1",0.4334,-0.201199999999999,"DMSO",0
39,"20200122 P1",0.4334,-0.201199999999999,"PTx",0
39,"20200122 P1",0.4334,-0.201199999999999,"YM",0
39,"20200122 P1",0.4334,-0.201199999999999,"ymptx",0
39,"20200603 P1",0.0130000000000005,4.6247,"DMSO",1300
40,"20200603 P1",-0.261899999999999,3.3496,"DMSO",1300
41,"20200122 P1",-0.1253,0.365200000000001,"DMSO",0
41,"20200122 P1",-0.1253,0.365200000000001,"PTx",0
41,"20200122 P1",-0.1253,0.365200000000001,"YM",0
41,"20200122 P1",-0.1253,0.365200000000001,"ymptx",0
42,"20200603 P1",0.1182,1.1069,"DMSO",1300
43,"20200603 P1",1.2393,5.1236,"DMSO",1300
45,"20200603 P1",1.4162,5.8609,"DMSO",1300
46,"20200603 P1",2.7064,8.7451,"DMSO",1300
48,"20200122 P1",0.0134999999999998,-0.2001,"DMSO",0
48,"20200122 P1",0.0134999999999998,-0.2001,"PTx",0
48,"20200122 P1",0.0134999999999998,-0.2001,"YM",0
48,"20200122 P1",0.0134999999999998,-0.2001,"ymptx",0
48,"20200603 P1",0.521,7.2228,"DMSO",1300
49,"20200122 P1",0.00180000000000008,0.223,"DMSO",0
49,"20200122 P1",0.00180000000000008,0.223,"PTx",0
49,"20200122 P1",0.00180000000000008,0.223,"YM",0
49,"20200122 P1",0.00180000000000008,0.223,"ymptx",0
50,"20200122 P1",-0.0337000000000001,-0.1762,"DMSO",0
50,"20200122 P1",-0.0337000000000001,-0.1762,"PTx",0
50,"20200122 P1",-0.0337000000000001,-0.1762,"YM",0
50,"20200122 P1",-0.0337000000000001,-0.1762,"ymptx",0
52,"20200122 P1",0.0195999999999998,-0.2662,"DMSO",0
52,"20200122 P1",0.0195999999999998,-0.2662,"PTx",0
52,"20200122 P1",0.0195999999999998,-0.2662,"YM",0
52,"20200122 P1",0.0195999999999998,-0.2662,"ymptx",0
52,"20200603 P1",0.216,2.6112,"DMSO",1300
53,"20200603 P1",0.3501,4.8013,"DMSO",1300
54,"20200603 P1",1.1545,4.6106,"DMSO",1300
56,"20200603 P1",-0.0136000000000004,3.7711,"DMSO",1300
57,"20200603 P1",-0.114,4.7746,"DMSO",1300
60,"20200122 P1",-0.0906000000000002,-0.1654,"DMSO",0
60,"20200122 P1",-0.0906000000000002,-0.1654,"PTx",0
60,"20200122 P1",-0.0906000000000002,-0.1654,"YM",0
60,"20200122 P1",-0.0906000000000002,-0.1654,"ymptx",0
61,"20200603 P1",0.4743,4.0778,"DMSO",1300
62,"20200122 P1",-0.6071,-0.863900000000001,"DMSO",0
62,"20200122 P1",-0.6071,-0.863900000000001,"PTx",0
62,"20200122 P1",-0.6071,-0.863900000000001,"YM",0
62,"20200122 P1",-0.6071,-0.863900000000001,"ymptx",0
62,"20200603 P1",0.123,3.6458,"DMSO",1300
63,"20200603 P1",0.1957,5.2157,"DMSO",1300
64,"20200122 P1",0.0603999999999996,0.2246,"DMSO",0
64,"20200122 P1",0.0603999999999996,0.2246,"PTx",0
64,"20200122 P1",0.0603999999999996,0.2246,"YM",0
64,"20200122 P1",0.0603999999999996,0.2246,"ymptx",0
65,"20200603 P1",0.2879,3.8493,"DMSO",1300
66,"20200122 P1",-0.0560999999999995,-0.1258,"DMSO",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"PTx",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"YM",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"ymptx",0
66,"20200603 P1",-0.3905,2.9876,"DMSO",1300
67,"20200603 P1",1.1498,3.417,"DMSO",1300
68,"20200122 P1",0.1073,0.0131000000000001,"DMSO",0
68,"20200122 P1",0.1073,0.0131000000000001,"PTx",0
68,"20200122 P1",0.1073,0.0131000000000001,"YM",0
68,"20200122 P1",0.1073,0.0131000000000001,"ymptx",0
69,"20200122 P1",-0.1862,-0.0107,"DMSO",0
69,"20200122 P1",-0.1862,-0.0107,"PTx",0
69,"20200122 P1",-0.1862,-0.0107,"YM",0
69,"20200122 P1",-0.1862,-0.0107,"ymptx",0
69,"20200603 P1",0.0495999999999999,4.0743,"DMSO",1300
