"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
12,"20200122 P1",0.0558000000000001,-0.2106,"DMSO",0
12,"20200122 P1",0.0558000000000001,-0.2106,"PTx",0
12,"20200122 P1",0.0558000000000001,-0.2106,"YM",0
15,"20200122 P1",0.2458,-0.1424,"DMSO",0
15,"20200122 P1",0.2458,-0.1424,"PTx",0
15,"20200122 P1",0.2458,-0.1424,"YM",0
15,"20200630 P1",0.5559,1.4042,"DMSO",0.41
16,"20200122 P1",0.0412000000000005,-0.2493,"DMSO",0
16,"20200122 P1",0.0412000000000005,-0.2493,"PTx",0
16,"20200122 P1",0.0412000000000005,-0.2493,"YM",0
16,"20200630 P1",0.0130000000000005,0.3107,"DMSO",0.41
17,"20200630 P1",0.827899999999999,0.902000000000001,"DMSO",0.41
20,"20200630 P1",-0.0458999999999999,0.1293,"DMSO",0.41
22,"20200122 P1",-0.1194,-0.198,"DMSO",0
22,"20200122 P1",-0.1194,-0.198,"PTx",0
22,"20200122 P1",-0.1194,-0.198,"YM",0
22,"20200630 P1",-0.1489,0.0494000000000001,"DMSO",0.41
23,"20200122 P1",0.1838,-0.154,"DMSO",0
23,"20200122 P1",0.1838,-0.154,"PTx",0
23,"20200122 P1",0.1838,-0.154,"YM",0
23,"20200630 P1",-0.2066,-0.4798,"DMSO",0.41
24,"20200630 P1",0.446600000000001,0.5685,"DMSO",0.41
25,"20200122 P1",0.3291,-0.7078,"DMSO",0
25,"20200122 P1",0.3291,-0.7078,"PTx",0
25,"20200122 P1",0.3291,-0.7078,"YM",0
25,"20200630 P1",0.4375,0.8555,"DMSO",0.41
26,"20200122 P1",0.1011,-0.0882000000000001,"DMSO",0
26,"20200122 P1",0.1011,-0.0882000000000001,"PTx",0
26,"20200122 P1",0.1011,-0.0882000000000001,"YM",0
26,"20200630 P1",0.3146,0.3374,"DMSO",0.41
27,"20200122 P1",0.2923,0.0267,"DMSO",0
27,"20200122 P1",0.2923,0.0267,"PTx",0
27,"20200122 P1",0.2923,0.0267,"YM",0
28,"20200122 P1",-0.3226,-0.4163,"DMSO",0
28,"20200122 P1",-0.3226,-0.4163,"PTx",0
28,"20200122 P1",-0.3226,-0.4163,"YM",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"DMSO",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"PTx",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"YM",0
30,"20200630 P1",0.0883000000000006,-2.1595,"DMSO",0.41
31,"20200122 P1",-0.2789,0.00169999999999981,"DMSO",0
31,"20200122 P1",-0.2789,0.00169999999999981,"PTx",0
31,"20200122 P1",-0.2789,0.00169999999999981,"YM",0
33,"20200630 P1",-0.2014,-0.4231,"DMSO",0.41
35,"20200122 P1",0.0967000000000001,0.468,"DMSO",0
35,"20200122 P1",0.0967000000000001,0.468,"PTx",0
35,"20200122 P1",0.0967000000000001,0.468,"YM",0
36,"20200630 P1",0.28,0.3376,"DMSO",0.41
37,"20200630 P1",0.0117999999999997,0.1247,"DMSO",0.41
38,"20200630 P1",0.4139,-0.196600000000001,"DMSO",0.41
39,"20200122 P1",0.4334,-0.201199999999999,"DMSO",0
39,"20200122 P1",0.4334,-0.201199999999999,"PTx",0
39,"20200122 P1",0.4334,-0.201199999999999,"YM",0
39,"20200630 P1",0.2411,0.2469,"DMSO",0.41
41,"20200122 P1",-0.1253,0.365200000000001,"DMSO",0
41,"20200122 P1",-0.1253,0.365200000000001,"PTx",0
41,"20200122 P1",-0.1253,0.365200000000001,"YM",0
44,"20200630 P1",-0.0946000000000002,0.0507999999999999,"DMSO",0.41
47,"20200630 P1",0.3827,0.319800000000001,"DMSO",0.41
48,"20200122 P1",0.0134999999999998,-0.2001,"DMSO",0
48,"20200122 P1",0.0134999999999998,-0.2001,"PTx",0
48,"20200122 P1",0.0134999999999998,-0.2001,"YM",0
49,"20200122 P1",0.00180000000000008,0.223,"DMSO",0
49,"20200122 P1",0.00180000000000008,0.223,"PTx",0
49,"20200122 P1",0.00180000000000008,0.223,"YM",0
49,"20200630 P1",-0.3203,-0.5949,"DMSO",0.41
