"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
11,"20200526 P1",-0.3796,-0.3175,"DMSO",0.19
12,"20200122 P1",0.0558000000000001,-0.2106,"DMSO",0
12,"20200122 P1",0.0558000000000001,-0.2106,"PTx",0
12,"20200122 P1",0.0558000000000001,-0.2106,"YM",0
12,"20200122 P1",0.0558000000000001,-0.2106,"ymptx",0
13,"20200526 P1",-0.167399999999999,-0.3714,"DMSO",0.19
15,"20200122 P1",0.2458,-0.1424,"DMSO",0
15,"20200122 P1",0.2458,-0.1424,"PTx",0
15,"20200122 P1",0.2458,-0.1424,"YM",0
15,"20200122 P1",0.2458,-0.1424,"ymptx",0
16,"20200122 P1",0.0412000000000005,-0.2493,"DMSO",0
16,"20200122 P1",0.0412000000000005,-0.2493,"PTx",0
16,"20200122 P1",0.0412000000000005,-0.2493,"YM",0
16,"20200122 P1",0.0412000000000005,-0.2493,"ymptx",0
16,"20200526 P1",0.2479,0.348,"DMSO",0.19
19,"20200526 P1",0.3895,0.6816,"DMSO",0.19
22,"20200122 P1",-0.1194,-0.198,"DMSO",0
22,"20200122 P1",-0.1194,-0.198,"PTx",0
22,"20200122 P1",-0.1194,-0.198,"YM",0
22,"20200122 P1",-0.1194,-0.198,"ymptx",0
23,"20200122 P1",0.1838,-0.154,"DMSO",0
23,"20200122 P1",0.1838,-0.154,"PTx",0
23,"20200122 P1",0.1838,-0.154,"YM",0
23,"20200122 P1",0.1838,-0.154,"ymptx",0
23,"20200526 P1",0.2442,0.1573,"DMSO",0.19
25,"20200122 P1",0.3291,-0.7078,"DMSO",0
25,"20200122 P1",0.3291,-0.7078,"PTx",0
25,"20200122 P1",0.3291,-0.7078,"YM",0
25,"20200122 P1",0.3291,-0.7078,"ymptx",0
26,"20200122 P1",0.1011,-0.0882000000000001,"DMSO",0
26,"20200122 P1",0.1011,-0.0882000000000001,"PTx",0
26,"20200122 P1",0.1011,-0.0882000000000001,"YM",0
26,"20200122 P1",0.1011,-0.0882000000000001,"ymptx",0
27,"20200122 P1",0.2923,0.0267,"DMSO",0
27,"20200122 P1",0.2923,0.0267,"PTx",0
27,"20200122 P1",0.2923,0.0267,"YM",0
27,"20200122 P1",0.2923,0.0267,"ymptx",0
28,"20200122 P1",-0.3226,-0.4163,"DMSO",0
28,"20200122 P1",-0.3226,-0.4163,"PTx",0
28,"20200122 P1",-0.3226,-0.4163,"YM",0
28,"20200122 P1",-0.3226,-0.4163,"ymptx",0
29,"20200526 P1",0.1669,0.3705,"DMSO",0.19
30,"20200122 P1",-0.0395000000000002,-0.1152,"DMSO",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"PTx",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"YM",0
30,"20200122 P1",-0.0395000000000002,-0.1152,"ymptx",0
30,"20200526 P1",0.4183,-0.1579,"DMSO",0.19
31,"20200122 P1",-0.2789,0.00169999999999981,"DMSO",0
31,"20200122 P1",-0.2789,0.00169999999999981,"PTx",0
