"clu_A","clu_E","Cluster","cond_inh","Unique_Unique_Object"
2,7,"2_7","0.41 UK DMSO","0.41 UK DMSO_100"
2,2,"2_2","1300.0 S1P DMSO","1300.0 S1P DMSO_100"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10005"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10006"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10007"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10007"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10008"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10010"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10011"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10013"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10014"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10015"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10016"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10017"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10018"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10018"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10019"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10021"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10022"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10023"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10024"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10024"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10025"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10025"
1,8,"1_8","3.7 UK DMSO","3.7 UK DMSO_10026"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10026"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10027"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10028"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10029"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10030"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10031"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10032"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10033"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10034"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10036"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10037"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10038"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10039"
3,2,"3_2","3.7 UK DMSO","3.7 UK DMSO_10040"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10042"
3,4,"3_4","650.0 S1P DMSO","650.0 S1P DMSO_10042"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10043"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10044"
3,5,"3_5","650.0 S1P DMSO","650.0 S1P DMSO_10044"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10046"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10047"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10048"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10048"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10049"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10049"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10051"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10053"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10053"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10055"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10056"
1,4,"1_4","3.7 UK DMSO","3.7 UK DMSO_10057"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10057"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10058"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10059"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10061"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10062"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10063"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10064"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10065"
3,5,"3_5","650.0 S1P DMSO","650.0 S1P DMSO_10066"
2,1,"2_1","650.0 S1P DMSO","650.0 S1P DMSO_10068"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10069"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10070"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10070"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10072"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10073"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10074"
1,8,"1_8","3.7 UK DMSO","3.7 UK DMSO_10076"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10076"
2,8,"2_8","650.0 S1P DMSO","650.0 S1P DMSO_10077"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10078"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10079"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10080"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10081"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10081"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10083"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10084"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10084"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10085"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10087"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10087"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10090"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10090"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10091"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10093"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10093"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10095"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10099"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10100"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10100"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10102"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10103"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10104"
1,2,"1_2","650.0 S1P DMSO","650.0 S1P DMSO_10104"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10107"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10108"
